;producto_id;tipo_produccion_id;idioma_id;anio_publica;titulo;palabras_clave
31;96;1;4;2016;Desiccating stress-induced disruption of ocular surface immune tolerance drives dry eye disease;conjunctival tolerance|desiccating stress,|dry eye|mucosal tolerance
32;98;1;4;2016;GIVING TAXONOMIC SIGNIFICANCE TO MORPHOLOGICAL VARIABILITY IN THE BIVALVE PTYCHOMYA AGASSIZ;Bivalvia|Morfometría Geométrica|Especie|Evolución
33;99;1;4;2016;Understanding the structure and function of Bacillus thuringiensis toxins.;BACILLUS THURINGIENSIS|BT TOXINS|BT TOXIN STRUCTURE|MODE OF ACTION
34;100;1;4;2016;Dehydroleucodine inhibits tumor growth in a preclinical melanoma model by inducing cell cycle arrest, senescence and apoptosis;SESQUITERPENE LACTONES|DEHYDROLEUCODINE|MELANOMA|MATHEMATICAL MODEL|APOPTOSIS|PREMATURE SENESCENCE
35;102;1;4;2016;Aerobic degradation of ibuprofen in batch and continuous reactors by an indigenous bacterial community;Emerging contaminants|ibuprofen|aerobic reactors|biodegradation|matanza riachuelo basin
36;108;1;4;2016;F8 intron 22 inversions and SNP rs73563631 in unrelated families with severe haemophilia A: clinical features and gene testing implications;F8|haemophilia|inversion|SNP
37;115;1;4;2016;On the evolution and diversification of an Andean clade of reptiles: combining morphology and DNA sequences of the palluma group (Liolaemidae: Phymaturus);Phylogenetic relationships|Phymaturus|Taxonomic congruence|total evidence
38;118;1;4;2016;FISH-mapping of the 5S rDNA locus in the chili peppers (Capsicum-Solanaceae);WILD AND CULTIVATED CAPSICUM|5S RRNA GENE|CAPSICUM-DERIVED PROBE|FISH-MAPPING
39;120;1;4;2016;3D Formation Control of Autonomous Vehicles Based on Null-Space;Aerial formation control|Null space|Quadrotor
40;126;1;5;2016;CRYPHAEA CONSIMILIS (CRYPHAEACEAE, BRYOPHYTA), NUEVA CITA PARA LA ARGENTINA;BRYOPHYTA|CRYPHAEACEAE|MUSGOS|NUEVO REGISTRO
41;129;1;4;2016;"Effects of waterborne exposure to 17&#946;-estradiol and 4-tert-octylphenol on early life stages of the South American cichlid fish Cichlasoma dimerus";17B estardiol|octylphenol|early life stages|cichlid fish
42;131;1;5;2016;Mujeres migrantes, trabajo y empoderamiento. Bolivianas en una ciudad de la periferia globalizada;AGENCIA|EMPODERAMIENTO|FAMILIA|REDES
43;139;1;4;2016;Impact of X-rays on cytological traits of Tuta absoluta (Lepidoptera: Gelechiidae);Esterilidad heredada|Citología|Espermatogénesis
