persona_id;anio;sexo_id;edad;maximo_grado_academico_id;disciplina_maximo_grado_academico_id;disciplina_titulo_grado_id;disciplina_experticia_id;tipo_personal_id;producciones_ult_anio;producciones_ult_2_anios;producciones_ult_3_anios;producciones_ult_4_anios;institucion_trabajo_id;seniority_level;categoria_conicet_id;categoria_incentivos;max_dedicacion_horaria_docente_id;institucion_cargo_docente_id;clase_cargo_docente_id;tipo_condicion_docente_id
56079;2011;1;27;-1;-1;-1;201;2;0;0;0;0;8805;   ;;;;;;
56080;2011;1;32;5;49;49;51;4;0;1;2;2;6797;   ;-1;-1;1;6797;35;1
56081;2011;2;57;2;269;269;173;2;1;2;2;9;9460;   ;;;;;;
56082;2011;2;45;1;274;274;274;2;0;0;0;0;1799;   ;;;;;;
56084;2011;2;32;7;-1;-1;85;3;4;5;7;8;317;S/D;-1;-1;3;1552;22;2
56085;2011;2;22;7;-1;-1;69;2;0;0;0;0;4555;   ;;;;;;
56088;2011;1;23;3;249;249;275;1;2;2;2;2;6364;D  ;-1;-1;3;424;21;1
56092;2011;1;48;2;224;224;224;3;0;3;6;14;7425;C  ;-1;4;2;7425;20;1
56094;2011;1;37;5;151;151;151;4;0;0;0;0;442;   ;-1;-1;3;442;49;2
56096;2011;1;43;5;201;201;201;4;-1;-1;-1;-1;1799;   ;-1;5;2;1799;20;2
56097;2011;2;23;7;-1;-1;278;1;1;1;1;1;455;D  ;-1;-1;3;444;22;1
56099;2011;1;56;3;200;200;201;3;3;4;6;7;550;B  ;-1;3;2;1337;18;1
56101;2011;2;49;3;62;7;62;3;0;0;0;0;7707;S/D;-1;-1;1;7706;17;1
56104;2011;1;46;6;3;-1;201;4;0;0;0;0;1229;   ;-1;-1;3;1229;20;1
56105;2011;2;45;2;284;64;64;3;2;2;3;3;9047;C  ;-1;5;3;550;18;1
56106;2011;2;52;5;248;248;178;3;0;3;3;3;4017;B  ;-1;3;2;326;18;1
56107;2011;1;26;-1;-1;-1;221;2;-1;-1;-1;-1;1654;   ;;;;;;
56109;2011;1;48;5;199;199;199;4;0;2;3;5;474;   ;-1;-1;3;474;17;1
56111;2011;1;41;5;193;193;277;3;1;1;2;2;4876;C  ;-1;5;3;4876;46;1
56112;2011;1;46;5;64;64;64;4;0;0;0;0;221;   ;-1;-1;2;230;46;2
56113;2011;1;24;5;34;34;88;2;-1;-1;-1;-1;5728;   ;;;;;;
56115;2011;1;30;5;246;246;246;4;0;0;0;0;8965;   ;-1;-1;3;8965;22;1
56116;2011;1;41;3;277;277;271;4;0;0;0;0;1466;   ;-1;-1;3;9423;20;2
56117;2011;1;30;5;252;252;207;4;0;0;0;0;1102;   ;-1;-1;3;1102;21;2
56118;2011;2;33;5;242;242;242;4;0;2;2;3;383;   ;-1;-1;2;383;46;2
56121;2011;2;38;3;271;131;132;3;0;0;0;0;440;S/D;-1;-1;1;440;20;1
56122;2011;1;54;5;257;257;254;2;1;1;2;3;8732;   ;;;;;;
56123;2011;1;43;3;201;201;201;3;2;5;9;12;496;C  ;;;;;;
56125;2011;1;48;1;279;108;271;4;2;3;5;5;291;   ;-1;5;3;291;20;1
56126;2011;1;37;3;134;134;134;4;0;0;0;0;291;   ;-1;-1;3;5760;20;2
56127;2011;1;57;1;-1;-1;15;3;0;0;1;1;3432;B  ;-1;3;3;3337;17;3
56128;2011;2;58;1;285;56;252;3;2;6;6;10;6974;A  ;3;1;1;344;17;1
56129;2011;1;46;5;250;250;250;3;0;0;0;0;9785;C  ;-1;4;1;522;21;1
56130;2011;2;49;5;107;6;254;4;0;0;0;0;9455;   ;-1;-1;3;515;20;1
56131;2011;1;58;3;278;278;278;4;0;0;0;0;9876;   ;-1;-1;1;9876;18;1
